Loading norms and the citation graph...
  960 eligible norms (deontic in {'COMPETENCE', 'OBLIGATION', 'PROHIBITION'}, addressee_type known)
  embedding 960 norms for semantic candidate matching (model: text-embedding-3-small, top-8)...
  5649 semantic-similarity index pair(s) found
  3023 candidate pair(s) after addressee_type gate + (graph adjacency OR trigger-keyword match OR semantic similarity)
  1 resolved deterministically (no AI needed), 3022 need AI adjudication (duty_conflict/deontic_polarity_conflict)
  BWBR0040940 art.19 <-> BWBR0051796 art.7 -- competence_competition [High]
  adjudicating 3022 duty-conflict pair(s) with 8 concurrent calls...
  [1/3022] BWBR0052872 art.3 <-> BWBR0052872 art.24 -- NOT_A_CONFLICT
  [2/3022] BWBR0052872 art.3 <-> BWBR0052872 art.16 -- NOT_A_CONFLICT
  [3/3022] BWBR0052872 art.3 <-> BWBR0052872 art.16 -- NOT_A_CONFLICT
  [4/3022] BWBR0052872 art.3 <-> BWBR0052872 art.16 -- NOT_A_CONFLICT
  [5/3022] BWBR0052872 art.3 <-> BWBR0052872 art.17 -- NOT_A_CONFLICT
  [6/3022] BWBR0052872 art.3 <-> BWBR0052872 art.16 -- NOT_A_CONFLICT
  [7/3022] BWBR0052872 art.3 <-> BWBR0052872 art.24 -- NOT_A_CONFLICT
  [8/3022] BWBR0052872 art.3 <-> BWBR0052872 art.16 -- NOT_A_CONFLICT
  [9/3022] BWBR0052872 art.3 <-> BWBR0052872 art.44 -- NOT_A_CONFLICT
  [10/3022] BWBR0052872 art.3 <-> BWBR0052872 art.51 -- NOT_A_CONFLICT
  [11/3022] BWBR0052872 art.3 <-> BWBR0052872 art.35 -- NOT_A_CONFLICT
  [12/3022] BWBR0052872 art.3 <-> BWBR0052872 art.51 -- NOT_A_CONFLICT
  [13/3022] BWBR0052872 art.3 <-> BWBR0052872 art.51 -- NOT_A_CONFLICT
  [14/3022] BWBR0052872 art.3 <-> BWBR0052872 art.25 -- NOT_A_CONFLICT
  [15/3022] BWBR0052872 art.3 <-> BWBR0052872 art.65 -- NOT_A_CONFLICT
  [16/3022] BWBR0052872 art.3 <-> BWBR0052872 art.65 -- NOT_A_CONFLICT
  [17/3022] BWBR0052872 art.3 <-> BWBR0009950 art.11a.1 -- NOT_A_CONFLICT
  [18/3022] BWBR0052872 art.3 <-> BWBR0009950 art.11a.3 -- NOT_A_CONFLICT
  [19/3022] BWBR0052872 art.3 <-> BWBR0009950 art.11a.3 -- NOT_A_CONFLICT
  [20/3022] BWBR0052872 art.6 <-> 32024R1689 art.2 -- NOT_A_CONFLICT
  [21/3022] BWBR0052872 art.3 <-> BWBR0009950 art.11a.3 -- NOT_A_CONFLICT
  [22/3022] BWBR0052872 art.9 <-> BWBR0048156 art.14 -- NOT_A_CONFLICT
  [23/3022] BWBR0052872 art.9 <-> 32022L2555 art.3 -- NOT_A_CONFLICT
  [24/3022] BWBR0052872 art.9 <-> BWBR0048156 art.3 -- NOT_A_CONFLICT
  [25/3022] BWBR0052872 art.11 <-> BWBR0048156 art.14 -- NOT_A_CONFLICT
  [26/3022] BWBR0052872 art.9 <-> 32016R0679 art.41 -- NOT_A_CONFLICT
  [27/3022] BWBR0052872 art.11 <-> BWBR0048156 art.3 -- NOT_A_CONFLICT
  [28/3022] BWBR0052872 art.11 <-> BWBR0048156 art.14 -- NOT_A_CONFLICT
  [29/3022] BWBR0052872 art.13 <-> BWBR0048156 art.3 -- NOT_A_CONFLICT
  [30/3022] BWBR0052872 art.13 <-> BWBR0048156 art.14 -- NOT_A_CONFLICT
  [31/3022] BWBR0052872 art.13 <-> BWBR0048156 art.14 -- NOT_A_CONFLICT
  [32/3022] BWBR0052872 art.14 <-> BWBR0048156 art.5 -- NOT_A_CONFLICT
  [33/3022] BWBR0052872 art.14 <-> BWBR0009950 art.11a.1 -- NOT_A_CONFLICT
  [34/3022] BWBR0052872 art.14 <-> 32022L2555 art.37 -- NOT_A_CONFLICT
  [35/3022] BWBR0052872 art.16 <-> BWBR0052872 art.16 -- NOT_A_CONFLICT
  [36/3022] BWBR0052872 art.14 <-> 32022L2555 art.8 -- NOT_A_CONFLICT
  [37/3022] BWBR0052872 art.16 <-> BWBR0052872 art.16 -- NOT_A_CONFLICT
  [38/3022] BWBR0052872 art.16 <-> BWBR0052872 art.16 -- NOT_A_CONFLICT
  [39/3022] BWBR0052872 art.16 <-> BWBR0052872 art.24 -- NOT_A_CONFLICT
  [40/3022] BWBR0052872 art.16 <-> BWBR0052872 art.24 -- NOT_A_CONFLICT
  [41/3022] BWBR0052872 art.16 <-> BWBR0052872 art.16 -- NOT_A_CONFLICT
  [42/3022] BWBR0052872 art.16 <-> BWBR0052872 art.17 -- NOT_A_CONFLICT
  [43/3022] BWBR0052872 art.16 <-> BWBR0052872 art.44 -- NOT_A_CONFLICT
